date,daily_revenue,transaction_count,signup_rate
2026-04-22,10457.08,553,132.65
2026-04-23,8440.02,492,105.48
2026-04-24,11125.68,466,89.73
2026-04-27,11410.85,493,127.66
2026-04-28,7073.45,365,110.72
2026-04-29,8046.73,384,138.39
2026-04-30,10191.76,394,104.58
2026-05-01,9525.64,420,69.39
2026-05-04,9974.8,531,65.8
2026-05-05,8720.43,427,141.27
2026-05-06,11319.1,469,143.09
2026-05-07,11166.69,603,95.51
2026-05-08,2000.0,80,5.0
2026-05-11,11690.86,559,136.54
2026-05-12,10701.26,425,72.32
2026-05-13,8711.06,483,77.63
2026-05-14,10553.13,423,116.08
2026-05-15,8561.68,472,90.13
2026-05-18,11317.68,567,99.87
2026-05-19,9925.11,361,95.91
2026-05-20,9722.71,534,108.44
2026-05-21,8978.61,519,135.19
2026-05-22,11833.81,452,102.26
2026-05-25,9768.21,384,116.1
2026-05-26,9357.51,505,48.75
2026-05-27,9471.8,457,98.78
2026-05-28,10798.46,518,78.92
2026-05-29,10548.17,501,69.53
2026-06-01,10619.1,628,78.05
2026-06-02,10646.23,480,91.65
2026-06-03,13212.47,418,122.9
2026-06-04,9390.38,514,66.84
2026-06-05,9231.64,517,100.77
2026-06-08,8779.34,608,87.9
2026-06-09,10923.97,566,91.81
2026-06-10,48000.0,3500,450.0
2026-06-11,9829.08,617,113.45
2026-06-12,8739.77,404,133.43
2026-06-15,8763.28,448,96.14
2026-06-16,10975.89,425,82.6
2026-06-17,11114.88,468,94.4
2026-06-18,10814.73,389,106.06
2026-06-19,9001.74,550,104.41
2026-06-22,10348.24,482,72.89
2026-06-23,10175.03,382,102.26
2026-06-24,10328.03,418,105.71
2026-06-25,11307.14,525,162.94
2026-06-26,10335.39,567,146.92
2026-06-29,11018.37,659,78.67
2026-06-30,10101.37,733,92.82
2026-07-01,10433.68,533,63.41
2026-07-02,10946.93,420,85.23
2026-07-03,7814.27,329,107.89
2026-07-06,9520.49,521,130.15
2026-07-07,9294.44,434,81.77
2026-07-08,9041.68,466,83.65
2026-07-09,9587.29,451,46.32
2026-07-10,12242.41,488,95.93
2026-07-13,3000.0,60,73.44
2026-07-14,11452.42,512,86.76
2026-07-15,7475.7,487,78.08
2026-07-16,9497.67,417,97.64
2026-07-17,10244.13,366,56.06
2026-07-20,10879.33,461,63.32
2026-07-21,11066.84,495,153.23
2026-07-22,11190.02,641,67.81
2026-07-23,9476.91,510,72.58
2026-07-24,9306.47,578,145.92
2026-07-27,11286.96,460,172.63
2026-07-28,9713.04,405,70.71
2026-07-29,8086.47,422,90.79
2026-07-30,8300.07,441,108.54
2026-07-31,55000.0,8000,143.22
2026-08-03,10745.74,434,75.33
2026-08-04,10213.64,567,93.87
2026-08-05,11035.73,427,119.43
2026-08-06,9359.12,574,110.87
2026-08-07,10237.81,530,90.6
2026-08-10,10938.39,487,96.65
2026-08-11,9535.98,496,65.63
2026-08-12,10685.16,447,94.05
2026-08-13,9007.11,535,93.34
2026-08-14,9455.42,463,105.8
2026-08-17,9427.39,401,86.12
2026-08-18,8206.24,397,111.79
2026-08-19,10730.46,513,125.32
2026-08-20,9295.9,626,103.89
2026-08-21,10018.74,512,108.79
2026-08-24,10721.12,490,101.33
2026-08-25,10669.8,522,100.0
