date,revenue,orders,revenue_ma7,revenue_ma30,cumulative_revenue
2025-01-01,100,10,100.0,100.0,100
2025-01-02,115,11,107.5,107.5,215
2025-01-03,90,9,101.66666666666667,101.66666666666667,305
2025-01-04,120,12,106.25,106.25,425
2025-01-05,105,10,106.0,106.0,530
2025-01-06,130,13,110.0,110.0,660
2025-01-07,110,11,110.0,110.0,770
2025-01-08,125,12,113.57142857142857,111.875,895
2025-01-09,140,14,117.14285714285714,115.0,1035
2025-01-10,118,11,121.14285714285714,115.3,1153
2025-01-11,150,15,125.42857142857143,118.45454545454545,1303
2025-01-12,135,13,129.71428571428572,119.83333333333333,1438
2025-01-13,160,16,134.0,122.92307692307692,1598
2025-01-14,145,14,139.0,124.5,1743
2025-01-15,155,15,143.28571428571428,126.53333333333333,1898
2025-01-16,170,17,147.57142857142858,129.25,2068
2025-01-17,148,14,151.85714285714286,130.35294117647058,2216
2025-01-18,180,18,156.14285714285714,133.11111111111111,2396
2025-01-19,165,16,160.42857142857142,134.78947368421052,2561
2025-01-20,190,19,164.71428571428572,137.55,2751
2025-01-21,175,17,169.0,139.33333333333334,2926
2025-01-22,200,20,175.42857142857142,142.0909090909091,3126
2025-01-23,185,18,177.57142857142858,143.95652173913044,3311
2025-01-24,210,21,186.42857142857142,146.70833333333334,3521
2025-01-25,195,19,188.57142857142858,148.64,3716
2025-01-26,220,22,196.42857142857142,151.3846153846154,3936
2025-01-27,205,20,198.57142857142858,153.37037037037038,4141
2025-01-28,230,23,206.42857142857142,156.10714285714286,4371
2025-01-29,215,21,208.57142857142858,158.13793103448276,4586
2025-01-30,240,24,216.42857142857142,160.86666666666667,4826
2025-01-31,225,22,218.57142857142858,165.03333333333333,5051
2025-02-01,180,18,216.42857142857142,167.2,5231
2025-02-02,195,19,212.85714285714286,170.7,5426
2025-02-03,175,17,208.57142857142858,172.53333333333333,5601
2025-02-04,210,21,205.71428571428572,176.03333333333333,5811
2025-02-05,190,19,202.14285714285714,178.03333333333333,6001
2025-02-06,220,22,199.28571428571428,181.7,6221
2025-02-07,205,20,196.42857142857142,184.36666666666667,6426
2025-02-08,230,23,203.57142857142858,187.36666666666667,6656
2025-02-09,215,21,206.42857142857142,190.6,6871
2025-02-10,245,24,216.42857142857142,193.76666666666668,7116
2025-02-11,225,22,218.57142857142858,196.76666666666668,7341
2025-02-12,255,25,227.85714285714286,199.93333333333334,7596
2025-02-13,240,24,230.71428571428572,203.1,7836
2025-02-14,270,27,240.0,206.93333333333334,8106
2025-02-15,250,25,242.85714285714286,209.6,8356
2025-02-16,280,28,252.14285714285714,214.0,8636
2025-02-17,260,26,254.28571428571428,216.66666666666666,8896
2025-02-18,290,29,263.57142857142856,220.83333333333334,9186
2025-02-19,275,27,266.42857142857144,223.66666666666666,9461
2025-02-20,300,30,275.0,227.83333333333334,9761
2025-02-21,285,28,277.14285714285717,230.66666666666666,10046
2025-02-22,310,31,285.7142857142857,234.83333333333334,10356
2025-02-23,295,29,287.85714285714283,237.66666666666666,10651
2025-02-24,320,32,296.42857142857144,241.83333333333334,10971
2025-02-25,305,30,298.57142857142856,244.66666666666666,11276
2025-02-26,330,33,306.42857142857144,248.83333333333334,11606
2025-02-27,315,31,308.57142857142856,251.66666666666666,11921
2025-02-28,340,34,316.42857142857144,255.83333333333334,12261
