signup_date,signups,email_verified,first_purchase,conversion_pct
2026-08-28,3,3,2,66.7
2026-08-27,5,4,2,40.0
2026-08-26,5,5,2,40.0
2026-08-25,3,2,1,33.3
2026-08-24,5,5,3,60.0
2026-08-23,4,2,1,25.0
2026-08-22,1,1,1,100.0
2026-08-21,3,3,0,0.0
2026-08-20,3,3,1,33.3
2026-08-19,2,2,1,50.0
2026-08-18,8,7,4,50.0
2026-08-17,8,7,4,50.0
2026-08-16,6,5,1,16.7
2026-08-15,4,4,2,50.0
2026-08-14,12,9,3,25.0
2026-08-13,3,2,1,33.3
2026-08-12,3,3,3,100.0
2026-08-11,2,2,2,100.0
2026-08-10,7,5,2,28.6
2026-08-09,4,4,2,50.0
2026-08-08,5,4,3,60.0
2026-08-07,4,3,2,50.0
2026-08-06,6,6,1,16.7
2026-08-05,7,5,4,57.1
2026-08-04,9,8,6,66.7
2026-08-03,9,7,4,44.4
2026-08-02,2,2,1,50.0
2026-08-01,3,2,1,33.3
2026-07-31,3,3,1,33.3
2026-07-30,4,3,2,50.0
2026-07-29,4,3,0,0.0
2026-07-28,7,5,4,57.1
2026-07-27,3,2,1,33.3
2026-07-26,1,1,1,100.0
2026-07-25,6,6,4,66.7
2026-07-24,7,5,2,28.6
2026-07-23,2,2,0,0.0
2026-07-22,2,2,1,50.0
2026-07-21,6,5,3,50.0
2026-07-20,9,8,3,33.3
2026-07-19,8,8,6,75.0
2026-07-18,5,3,1,20.0
2026-07-17,9,9,4,44.4
2026-07-16,3,3,0,0.0
2026-07-15,5,4,2,40.0
2026-07-14,7,7,5,71.4
2026-07-13,8,5,3,37.5
2026-07-12,6,6,4,66.7
2026-07-11,4,1,0,0.0
2026-07-09,7,6,3,42.9
2026-07-08,1,1,1,100.0
2026-07-07,7,5,1,14.3
2026-07-06,4,3,1,25.0
2026-07-05,8,7,3,37.5
2026-07-04,2,2,0,0.0
2026-07-03,6,4,3,50.0
2026-07-02,3,3,0,0.0
2026-07-01,5,5,3,60.0
2026-06-30,4,4,1,25.0
2026-06-29,4,4,4,100.0
2026-06-28,3,2,2,66.7
2026-06-27,7,5,2,28.6
2026-06-26,8,5,3,37.5
2026-06-25,6,4,2,33.3
2026-06-24,7,5,3,42.9
2026-06-23,6,6,2,33.3
2026-06-22,5,4,3,60.0
2026-06-21,7,4,2,28.6
2026-06-20,4,3,2,50.0
2026-06-19,1,1,0,0.0
2026-06-18,7,7,2,28.6
2026-06-17,3,3,2,66.7
2026-06-16,5,4,2,40.0
2026-06-15,2,2,2,100.0
2026-06-14,4,4,3,75.0
2026-06-13,9,7,5,55.6
2026-06-12,5,2,2,40.0
2026-06-11,9,7,6,66.7
2026-06-10,9,8,5,55.6
2026-06-09,7,7,5,71.4
2026-06-08,2,2,2,100.0
2026-06-07,6,5,4,66.7
2026-06-06,3,2,1,33.3
2026-06-04,5,4,3,60.0
2026-06-03,7,5,2,28.6
2026-06-02,6,6,4,66.7
2026-06-01,3,1,0,0.0
2026-05-31,6,5,3,50.0
2026-05-30,2,1,1,50.0
