customer_id,customer_type,product,revenue,support_tickets,churn,amount,segment
1,SMB,Basic,80,3,1,80,SMB
2,SMB,Basic,100,2,0,100,SMB
3,SMB,Pro,180,2,1,180,SMB
4,SMB,Pro,220,1,0,220,SMB
5,SMB,Enterprise,350,3,1,350,SMB
6,SMB,Enterprise,400,2,0,400,SMB
7,Enterprise,Basic,600,1,0,600,Enterprise
8,Enterprise,Basic,750,1,0,750,Enterprise
9,Enterprise,Pro,1200,0,0,1200,Enterprise
10,Enterprise,Pro,1400,1,0,1400,Enterprise
11,Enterprise,Enterprise,2800,2,0,2800,Enterprise
12,Enterprise,Enterprise,3200,1,0,3200,Enterprise
13,Startup,Basic,60,4,1,60,Startup
14,Startup,Basic,75,3,1,75,Startup
15,Startup,Pro,130,3,1,130,Startup
16,Startup,Pro,150,2,0,150,Startup
17,Startup,Enterprise,250,4,1,250,Startup
18,Startup,Enterprise,300,3,0,300,Startup
