customer_id,customer_type,product,revenue,support_tickets,churn
1,SMB,Basic,80,3,1
2,SMB,Basic,100,2,0
3,SMB,Pro,180,2,1
4,SMB,Pro,220,1,0
5,SMB,Enterprise,350,3,1
6,SMB,Enterprise,400,2,0
7,Enterprise,Basic,600,1,0
8,Enterprise,Basic,750,1,0
9,Enterprise,Pro,1200,0,0
10,Enterprise,Pro,1400,1,0
11,Enterprise,Enterprise,2800,2,0
12,Enterprise,Enterprise,3200,1,0
13,Startup,Basic,60,4,1
14,Startup,Basic,75,3,1
15,Startup,Pro,130,3,1
16,Startup,Pro,150,2,0
17,Startup,Enterprise,250,4,1
18,Startup,Enterprise,300,3,0
