date,revenue,orders
2025-01-01,100,10
2025-01-02,115,11
2025-01-03,90,9
2025-01-04,120,12
2025-01-05,105,10
2025-01-06,130,13
2025-01-07,110,11
2025-01-08,125,12
2025-01-09,140,14
2025-01-10,118,11
2025-01-11,150,15
2025-01-12,135,13
2025-01-13,160,16
2025-01-14,145,14
2025-01-15,155,15
2025-01-16,170,17
2025-01-17,148,14
2025-01-18,180,18
2025-01-19,165,16
2025-01-20,190,19
2025-01-21,175,17
2025-01-22,200,20
2025-01-23,185,18
2025-01-24,210,21
2025-01-25,195,19
2025-01-26,220,22
2025-01-27,205,20
2025-01-28,230,23
2025-01-29,215,21
2025-01-30,240,24
2025-01-31,225,22
2025-02-01,180,18
2025-02-02,195,19
2025-02-03,175,17
2025-02-04,210,21
2025-02-05,190,19
2025-02-06,220,22
2025-02-07,205,20
2025-02-08,230,23
2025-02-09,215,21
2025-02-10,245,24
2025-02-11,225,22
2025-02-12,255,25
2025-02-13,240,24
2025-02-14,270,27
2025-02-15,250,25
2025-02-16,280,28
2025-02-17,260,26
2025-02-18,290,29
2025-02-19,275,27
2025-02-20,300,30
2025-02-21,285,28
2025-02-22,310,31
2025-02-23,295,29
2025-02-24,320,32
2025-02-25,305,30
2025-02-26,330,33
2025-02-27,315,31
2025-02-28,340,34
